id,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
4977,301.8,310,1286,62.9,9,1
5228,300.3,311.2,1381,44.4,202,1
5238,298.5,308.5,2678,10.7,86,1
5394,302.6,310.2,1873,21.3,87,1
5404,302.4,311,1359,44.7,181,1
5411,297.7,308.5,1662,56.7,79,1
5428,302,310.6,1361,55.6,182,1
5474,299,310,1367,55.7,201,1
5553,303.2,311.4,1238,56.2,226,1
5726,302.5,310.3,1326,54,186,1
5945,300.2,311.4,1353,51,40,1
6168,302.2,310.6,1436,47.5,192,1
6241,303.4,311.9,1435,47,217,1
6256,302.3,311.7,1611,38.6,168,1
6308,303,311.3,1379,47.7,148,1
6373,302.7,310.6,1349,52.3,12,1
6380,302.1,310.7,1525,47.8,204,1
6650,298.9,309,2549,13,191,1
6692,303.3,311.8,1354,45.7,107,1
6751,298.4,308.5,1423,10.7,86,1
6818,301.6,310.1,1368,50.7,10,1
6935,302,310.8,1495,39,235,1
6939,302.5,310.4,1351,52.6,187,1
7114,301.5,310.9,1376,54.6,215,1
7134,298.7,310.1,1340,59,112,1
7182,297,307.8,1717,56.4,202,1
7194,300.2,311.4,2289,18.4,20,1
7264,301.5,310.7,1359,51.5,207,1
7324,300.5,311.7,1395,41.2,167,1
7371,300.7,310.2,1580,40.7,208,1
7442,297.4,308.9,1449,40.5,204,1
7484,302,310.5,1383,50.2,229,1
7616,299.2,310.2,1411,55,192,1
7661,302.1,310.9,1356,51,111,1
7746,302.4,310.3,1357,54.5,136,1
7777,300.9,310.8,1708,29.1,166,1
7842,302.4,311,1326,46.2,190,1
7843,298.9,310.2,1294,65.3,174,1
7921,298,309.2,1372,56.6,190,1
7927,300.5,311.8,1524,47.3,111,1
7987,303.9,313,1275,57.3,78,1
8094,295.6,306.1,1372,55.6,98,1
8107,302.8,311.1,1374,48.9,78,1
8221,302.4,310.1,1366,50.1,70,1
8236,302.4,310.1,1358,53.6,61,1
8281,298.7,309.2,1382,60.2,195,1
8300,302,310.4,1308,55.6,82,1
8322,298.1,308.4,1680,33.7,33,1
8356,299.1,308.8,1445,60.7,191,1
8389,296.9,307.9,1359,57.1,192,1
8404,302,310.3,1322,50.7,159,1
8577,297.1,308.4,1274,69.4,202,1
8720,301.4,310.9,1360,63.9,67,1
8733,301.9,310.7,1334,59.6,51,1
8850,296.7,307.7,1399,49.8,195,1
8971,298.2,307.7,1436,67.3,0,1
9093,298.3,309.1,1616,31.1,208,1
9144,301.6,310.6,1350,65.8,104,1
9214,301.9,310.4,1336,58.2,110,1
9237,301.4,310.4,1334,49.2,62,1
9428,302.4,311,1346,48.5,193,1
9436,303,311.2,1355,61.8,127,1
9560,302.8,310.6,1321,52.3,98,1
9584,302.4,311.5,1372,65.3,64,1
9655,302.4,311.8,1307,55.5,5,1
9690,303.5,311.6,1634,30.4,72,1
9709,302.2,311.4,1369,49.6,0,1
9753,300.1,311.3,2579,12.5,64,1
9802,301,310.8,1705,29.4,206,1
9862,303,312.3,1304,49.9,77,1
9946,297.4,308.4,1620,38.7,215,1
9978,301,311.1,1357,55.3,172,1
9996,303,311.2,1222,67.9,137,1
10029,298.1,308.3,1442,71.8,205,1
10131,300.3,311.3,1530,65.2,136,1
10280,302.4,310.1,1366,47,107,1
10323,302.5,311.9,1270,69.6,124,1
10331,301.2,310.4,2874,4.2,111,1
10383,298.6,308.4,1326,63.8,166,1
10412,302.3,310.8,1377,47.3,148,1
10547,302.3,311,1685,28.1,30,1
10585,298.4,308.1,1712,27.7,218,1
10663,296.9,307.8,1341,50.9,203,1
10665,299.6,310.5,1283,61,222,1
10744,297.9,309.8,1336,71.6,31,1
10778,299.5,308.8,1965,20.4,164,1
10889,300.4,311.6,1200,76.6,3,1
10934,302.5,310.5,1349,46.1,42,1
11067,298.3,308,1410,59.3,212,1
11081,298,308.7,1365,55.7,50,1
11098,303.1,311.3,1384,50.1,210,1
11136,303.9,312.7,1336,61,119,1
11175,300.6,309.8,1663,29.1,145,1
11223,303.4,311.8,1471,45,205,1
11298,299.3,308.3,1542,37.5,203,1
11305,298.9,309.6,1402,63.2,187,1
11352,301.5,310.6,1335,52.4,33,1
11365,302.2,311.2,1341,56.5,48,1
11503,298.7,309.6,1316,50.4,32,1
11557,300.7,311.6,1335,44,194,1
11567,297.3,308.3,1333,48.4,13,1
11668,302,311.2,1270,65.3,182,1
11765,302.3,311.1,1336,54.8,61,1
11789,297.5,308.1,1541,72,206,1
11853,302.3,310.1,1366,55,187,1
11903,300.5,311.8,1434,47,214,1
11924,301.7,310.3,1459,35.8,31,1
12026,301.9,310.7,1376,68.6,26,1
12273,301.5,310.7,1359,47.1,115,1
12315,302.5,310.9,1446,43.2,220,1
12348,297.8,308.1,2874,4.8,130,1
12355,299.9,311.3,1399,49.6,208,1
12365,301.7,310.9,1405,46.3,146,1
12457,299,308.6,1361,68.6,126,1
12526,299,310,1309,55.6,213,1
12686,297.3,308.1,1450,36,150,1
12689,298.5,308.1,1377,48.6,48,1
12780,300.8,310.7,1339,59.5,203,1
12865,302,310.4,1376,54.9,57,1
12877,296.3,307.1,1385,52.4,167,1
13106,302.5,310.2,1353,57.5,148,1
13130,300.8,309.4,1258,68.5,113,1
13292,301.6,310.6,1380,54.4,164,1
13294,300.8,310.1,1362,57.2,189,1
13310,301.9,311.1,2833,5,179,1
13348,302.4,310.4,1357,47.2,126,1
13408,302.6,311.1,1391,56,161,1
13750,295.6,306.2,1419,55.7,14,1
13780,298.7,310.1,1402,69.7,24,1
13797,300.9,309.4,1342,62.4,113,1
14112,298,309.2,1336,64.8,194,1
14131,296.9,307.9,2563,12.3,195,1
14158,300.1,311.2,1466,45.9,62,1
14186,301.5,310.6,1365,57.4,111,1
14342,302.6,312.1,1499,35,215,1
14485,299,308.5,1353,52.6,159,1
14499,297.6,308.3,1478,42.3,187,1
14555,298.1,308.7,1479,44.9,3,1
14642,302.2,310.9,1366,48.4,130,1
14647,302.4,310.2,1346,45.4,106,1
14726,299,308.9,1511,39.3,20,1
14746,302.3,311.1,1470,39.6,97,1
14800,300.8,310.1,1424,61.2,198,1
14859,298.7,309.9,1438,59.1,20,1
14874,302.1,311,1351,60.8,191,1
14878,301,310.5,1379,57.3,204,1
14948,297.3,308.2,1431,39.3,212,1
15077,302.4,310.1,1379,44.3,107,1
15079,302,309.9,1307,57.9,197,1
15099,298.1,308.1,1363,60.8,65,1
15120,299.1,310.2,1317,54.8,231,1
15137,302.7,310.7,1377,53.3,67,1
15189,299.2,310.2,1398,56.2,154,1
15251,298.3,309.1,1362,40.9,162,1
15320,302.7,310.6,1349,57.8,121,1
15551,302.4,310.9,1365,62.9,113,1
15599,300.9,310.7,1339,59.3,201,1
15607,298.1,307.8,1404,47.2,85,1
15639,302,309.8,1332,50.2,199,1
15650,302.7,312.2,1346,73.8,56,1
15785,302.9,311.9,1337,56.5,12,1
15796,299,310.1,1359,46.3,62,1
15824,301.5,310.5,1523,39.1,204,1
15838,302.9,312.2,1286,65.2,203,1
15928,298.9,310.1,1735,28.9,187,1
15993,298,308.7,1414,46,209,1
16005,301.4,311.3,1364,50.9,46,1
16031,300.8,310.7,1339,59.1,203,1
16072,296.9,307.8,1316,61.2,200,1
16077,302.3,310.1,1374,48.8,184,1
16158,297.1,308.5,1523,37.1,207,1
16196,303.6,311.7,1384,53.6,62,1
16245,297.6,308.8,2478,13.4,72,1
16274,302.4,310.6,1362,54.8,155,1
16278,302,310.5,1361,62.9,143,1
16323,298.6,309.8,1368,51.2,218,1
16340,297.4,308.9,1450,53.6,7,1
16565,300.1,311.4,1384,51.6,194,1
16770,303.7,312.9,1370,47.2,14,1
16779,299.5,309.4,1390,58.8,15,1
16799,299.2,310.4,1387,53.3,114,1
16809,298.8,309.6,1370,56.8,218,1
17112,297.7,308.5,1373,56.7,195,1
17195,299.2,308.8,1342,54.8,195,1
17274,298.5,309.8,1367,55.7,217,1
17410,297.7,308.9,1363,56.2,204,1
17427,302.6,310.2,1330,47.2,179,1
17543,302.2,310.7,1270,68.2,159,1
17554,297.5,308.7,1285,70.2,215,1
17590,297.3,308,1338,61.2,37,1
17663,301.7,310.1,1359,51.1,65,1
17687,303,311.1,1372,55.2,117,1
17756,301.7,309.6,1352,53.5,227,1
17757,300.2,311.6,1447,48,155,1
17957,302.6,310.4,1365,66.8,80,1
18042,300.2,311.5,1489,47.3,128,1
18088,303,311.2,1382,50.5,203,1
18109,298.8,310,1461,46.5,24,1
18194,302,310.6,1336,66.4,119,1
18197,299.6,309.4,1242,70.3,80,1
18201,297.3,308.2,1754,27.9,186,1
18222,298.4,309.3,1578,36.8,114,1
18358,303,311.1,1270,62.3,146,1
18361,302.5,311.4,1227,61.5,209,1
18477,299.2,310.4,1362,37.3,213,1
18844,301,310.5,1336,57.2,204,1
18912,303.8,312.7,1363,53.3,197,1
18916,302.2,310.6,1346,45.9,166,1
18967,297.1,308.5,1546,44.4,5,1
19013,302.4,310.2,1331,45.5,53,1
19040,302,310.5,1358,49.7,139,1
19149,298.3,308.5,2636,12.1,148,1
19220,303.6,311.7,1395,48.4,73,1
19401,302.2,310.9,1360,46.1,88,1
19475,302,310.8,1349,51.3,62,1
19539,298.7,309.9,1402,55.8,198,1
19731,301.9,309.6,1437,48.8,218,1
19783,302.6,311.8,1501,42,174,1
19804,300.5,310.2,1387,53.2,228,1
19967,302.8,310.6,1404,43.2,203,1
19996,298.5,309.5,1336,57.3,12,1
20092,300.4,311.6,1200,76.6,3,1
20145,302.4,311.1,1378,50.6,127,1
20168,299,310.1,1367,53.2,213,1
20349,303.3,311.8,1298,59.4,213,1
20462,297.5,309.4,1318,59.5,10,1
20496,300.1,311.3,2579,12.5,22,1
20584,298.6,308.2,1605,31.6,172,1
20657,300.8,311.1,1286,67.9,123,1
20754,302.3,310.1,1673,29.1,115,1
20772,302,311.2,1270,65.3,33,1
20779,302,310,1378,53.2,178,1
21079,303.3,311.8,1366,50.9,17,1
21153,302.3,311.7,2833,5.7,136,1
21428,303.4,311.8,1316,50.9,69,1
21646,303.7,312.8,2567,12.8,49,1
21658,300.6,310.8,1440,47.4,181,1
21677,304,313.6,1365,53.7,200,1
21823,302.5,310.4,1379,41.8,104,1
21879,298.9,310.2,1446,8.8,15,1
21909,297.4,308.3,1475,46.7,222,1
22060,300.2,311.8,1336,72.6,187,1
22132,300.2,311.7,1238,51.4,226,1
22151,303.6,311.8,1386,50,54,1
22183,298.8,309.1,1312,65.2,111,1
22188,302,309.9,1372,53,161,1
22227,299.1,309.8,1550,55.4,217,1
22449,301,310.8,1397,48.8,194,1
22471,304,313.1,1517,43.1,108,1
22541,298.4,308.3,1433,62.3,179,1
22566,303.3,311.8,1367,47.5,75,1
22727,302.5,310.1,1377,47.2,167,1
22839,303.1,311.4,1377,51.1,200,1
22952,298.8,310.1,1359,56.8,194,1
23010,300.5,311.5,1362,53.9,187,1
23070,298.7,309.9,1181,65.9,203,1
23075,297.4,308.4,1589,34.9,213,1
23155,303.4,311.6,1355,63.9,7,1
23218,302.2,310.6,1346,49.2,184,1
23235,302.9,311.2,1298,68.8,76,1
23313,303.4,312.4,1364,50.5,26,1
23325,302.1,310.4,1376,54.6,174,1
23333,301.7,310,1379,45.5,86,1
23369,299.9,311.4,1362,57.2,160,1
23414,300.5,311.8,1524,48.9,214,1
23421,300.5,311.9,1510,40.7,214,1
23428,298.4,309.6,1710,27.3,163,1
23527,303.2,311.4,1336,56.8,226,1
23611,302,310.5,1376,44.7,139,1
23615,303,310.9,1351,44.5,86,1
23639,302.3,310.1,1368,65.3,22,1
23655,298.4,309.1,1681,29.7,170,1
23687,303.8,312.7,1267,63.4,175,1
23724,299.6,309.4,1395,61.9,189,1
23757,303.5,312.3,1284,70.6,94,1
23774,302.2,310.7,1324,48.9,114,1
23816,302.7,310.5,1397,49.8,197,1
23988,302.3,311.3,1931,62.9,101,1
24092,300.3,310.3,1362,60.3,146,1
24349,303.1,312.6,1323,61.8,159,1
24364,303.4,311.8,1359,56.2,202,1
24552,299.2,310.7,1458,40.2,225,1
24555,303.9,312.9,2886,4.6,189,1
24589,297.4,308.3,1475,39.5,222,1
24879,302,311,1412,53.1,207,1
24926,302,311,1376,47.3,227,1
24954,298.4,309.6,1710,28.3,163,1
25017,302.8,310.9,1353,51,202,1
25028,303.6,311.8,1471,66.8,148,1
25078,298.4,309.5,2153,15.3,5,1
25101,302.7,310.5,1351,53.9,10,1
25149,304.2,313,2874,4.7,155,1
25167,303.2,311.3,1706,29.4,6,1
25206,300.8,310.7,1339,59.1,203,1
25211,299.7,309.3,1680,31.9,221,1
25421,302.5,310.3,1378,54.6,17,1
25642,301,310.5,1379,57.4,204,1
25647,299.2,308.5,1372,60.9,202,1
25764,302.7,310.6,1312,55.6,179,1
25872,302.6,310.2,1335,53.5,97,1
25880,299.1,310,1441,48.3,210,1
25903,303.6,311.8,1312,47.5,61,1
25945,301.8,309.5,1325,66.9,66,1
26045,298.3,309.4,1549,15.3,59,1
26047,302.6,312.1,1329,61.4,198,1
26091,302.8,311.1,1346,52.3,80,1
26092,301.9,309.6,1349,51.7,201,1
26105,302.4,311,1359,50.9,81,1
26122,301.9,310.4,1438,46.7,197,1
26142,302,310.4,1336,58.2,119,1
26148,300.9,310.7,1412,57.5,16,1
26158,303.5,312,1255,62,30,1
26310,301.2,310.1,1429,44.4,40,1
26324,300.2,309.2,1369,53.8,59,1
26342,298.4,309.6,1412,41.8,147,1
26564,301.1,310.1,1405,41.1,189,1
26599,298.4,308.3,1385,41.7,225,1
26682,300.6,311.6,1372,48,203,1
26749,302.1,310.4,1325,45.1,208,1
26832,299,310.1,1361,59.3,53,1
26984,301.6,310.7,1373,43.9,94,1
27133,297.1,308.1,1615,35.4,217,1
27173,297.5,309.3,1479,61,22,1
27291,302.2,310.7,1372,55.4,112,1
27312,302.2,310.7,1362,40.4,154,1
27347,303.6,311.6,1355,51.9,90,1
27405,303,311.3,2194,16.5,205,1
27445,302.5,310.3,1334,72,151,1
27542,302.9,312.4,1452,50.4,203,1
27603,302.7,312.5,1477,46.3,251,1
27619,295.7,306.2,2270,14.6,149,1
27740,300.4,309.8,1379,54.2,207,1
27808,297.3,308.1,1230,54.8,59,1
27812,301.9,310.5,1373,49.9,13,1
27997,301,309.3,2874,4.6,98,1
28057,302,309.7,1394,47.7,5,1
28064,302,309.9,2421,13.9,71,1
28081,298.4,309.7,1710,35,163,1
28250,297,307.9,1350,61,170,1
28293,301,310.5,1389,57.3,204,1
28294,301.9,311,1449,48.1,31,1
28327,301.3,310.4,2672,12.8,7,1
28338,299.6,309.4,1243,76.4,83,1
28444,300.5,309.9,1397,45.9,210,1
28477,300.9,310.8,1708,29.1,14,1
28500,303.7,312.2,1363,54.7,94,1
28574,299.3,308.9,1449,44.2,119,1
28578,300.9,310.8,2659,11.4,14,1
28668,298.1,307.8,1313,67.3,67,1
28701,302.1,311.4,1368,52.7,194,1
28741,302.6,311,2633,10.7,86,1
28766,303.3,311.5,1355,44,45,1
28861,300,311.4,1466,29,216,1
28908,297.8,307.4,1376,63,155,1
28919,300.7,309.6,2153,17.3,222,1
28940,303.4,311.9,1379,55.9,19,1
28972,302.3,311.8,1363,43.3,119,1
28983,299.1,309.8,1398,55.4,217,1
29014,302.8,311.1,1351,52.3,82,1
29042,298.1,307.8,2579,13,135,1
29089,302.5,310.2,1306,64.7,64,1
29095,301.9,309.7,1316,49.9,176,1
29153,299.7,310.3,2691,10.2,0,1
29211,297.2,307.9,1326,52.1,179,1
29254,297.3,308.3,1366,48,45,1
29362,300.5,311.8,1524,45.8,214,1
29398,303.7,311.7,1384,45.9,187,1
29539,300.7,311,1438,49.3,106,1
29732,299.9,309.5,1268,66.7,188,1
29749,300.7,310.4,1327,61.3,203,1
29884,302.6,311.5,1532,36.8,169,1
29887,304.3,313.5,1495,35.7,205,1
29902,303.1,311.2,1313,61.8,98,1
29913,298.7,308.5,2636,12.2,104,1
29917,301.6,310.2,1295,59.1,60,1
29949,302.7,312.2,1450,54.1,213,1
29985,297.4,309.3,1399,59.5,20,1
30081,302.1,310.1,1379,48.8,164,1
30189,302.1,310.6,1372,62.3,68,1
30341,298.5,308.2,1301,66.3,42,1
30510,301.2,310.4,1382,52.3,228,1
30522,303.4,311.8,1364,45.5,195,1
30525,302.7,310.6,1349,51.2,176,1
30614,302.1,310.3,1383,60.5,20,1
30618,303.2,311.5,1363,52.5,228,1
30624,302,309.9,1407,52.8,154,1
30670,298.5,308.7,1360,60.9,187,1
30739,302.2,310.6,1357,52.9,161,1
30755,302.1,310.1,2659,12.5,172,1
30811,302.4,310.2,1331,46.7,53,1
30838,302.6,311,1377,49.5,111,1
31049,298,308.5,1429,37.7,220,1
31054,300,311.2,1706,28.8,7,1
31057,302.6,310.4,1324,48,182,1
31209,302.5,310.4,1376,42,136,1
31285,298.7,309.7,1547,37.4,203,1
31301,301,310.6,1493,37.7,206,1
31356,302.7,310.5,1263,67.8,124,1
31372,303.9,312.6,2672,10.8,139,1
31477,302.3,310.9,1366,48.4,198,1
31500,302.1,310.7,1376,56.2,210,1
31604,301.9,310.4,1336,62.4,153,1
31678,295.7,306.2,1446,59.1,149,1
31689,301.4,310.5,1361,54.2,195,1
31717,298.9,308.2,1434,63.6,30,1
31730,301.9,310.3,1326,58.5,55,1
31786,299.7,310.4,1380,49.3,99,1
31884,301,310.9,1376,49.3,225,1
31927,302,310.5,1379,58.2,97,1
31941,303.5,312,1757,29.7,28,1
31953,300.5,310.5,2633,12.2,17,1
32009,302.6,310.3,1299,53.7,87,1
32016,299.5,309.4,1353,49.1,195,1
32110,301.1,310,1312,73.6,49,1
32273,301.4,310.8,1410,48.8,202,1
32383,297.9,307.8,1265,65.3,90,1
32387,297.4,308.4,1369,50.6,168,1
32400,297.3,308.3,1351,55.3,207,1
32457,302.4,310.2,1363,51.9,140,1
32469,301,310.5,1379,48.8,202,1
32563,303.6,311.7,1363,69.6,18,1
32568,298.7,309.9,1434,48.4,200,1
32579,299,310.3,1422,48.8,233,1
32599,297.3,308.8,1419,42.4,23,1
32649,297.4,308.7,1360,50.2,228,1
32653,300.5,310.7,1431,52.9,202,1
32697,303,310.3,1361,44.2,114,1
32704,302.5,310.2,1405,47.1,0,1
32792,300.5,310.5,1449,40.5,131,1
32811,299,308.6,1365,56.7,114,1
32831,301.7,310.1,1341,50.5,5,1
32897,301.2,310.1,1312,57.6,28,1
32919,302.4,310.1,1412,45.8,93,1
32985,302.4,310.1,1371,45.6,107,1
32990,297.4,308.4,1361,46.2,189,1
33048,301.4,310.9,1359,61.9,163,1
33174,302.1,310.5,1366,48.1,124,1
33177,301,310.5,1379,44.7,204,1
33258,298.4,308.2,1431,49,216,1
33265,302.5,311.9,1368,57.4,63,1
33275,303,311.2,1340,61.7,134,1
33332,302.2,310.4,1356,60.4,167,1
33347,302.2,311,1341,56.7,206,1
33402,299.4,310.9,1331,57,217,1
33450,300.5,311.9,1418,42.6,209,1
33562,297.6,309.3,1608,30.8,15,1
33686,301.2,310,1372,65.9,5,1
33695,302.6,311,1351,49.8,141,1
33702,296.8,307.3,1549,35.2,192,1
33738,301.7,310.9,1680,8,146,1
33926,302.1,311.4,1340,61.4,62,1
33939,296.9,307.8,1433,49.2,202,1
33940,302,310.8,1615,46.3,235,1
33950,301.7,309.5,1298,65.6,229,1
33970,302,311,1566,37.8,218,1
34092,298,308.9,1429,37.7,220,1
34094,302.6,311.6,2678,10.7,10,1
34101,301.7,311.7,1362,59.1,209,1
34141,302.4,310.9,1368,52.9,79,1
34147,303.3,311.5,1396,47.8,107,1
34192,303.6,311.7,1389,52.7,214,1
34221,299,310.1,1435,48.8,229,1
34276,297.7,308.9,1330,76.6,203,1
34333,303.6,312.8,2659,11.4,26,1
34416,299.4,310.8,1422,53.9,217,1
34543,302.2,310.6,1286,62.3,109,1
34545,295.6,306.1,1372,55.6,215,1
34590,301,310.6,1493,37.8,206,1
34644,301.7,310.5,1388,65.4,176,1
34734,302,310.8,1366,55.7,203,1
34818,302.2,310.1,1335,48.6,152,1
34830,303.2,311.4,1238,51.7,226,1
34853,302.2,310.6,1297,62.3,159,1
34927,302.4,311.9,1290,70,139,1
35081,302.6,310.5,1336,59.1,153,1
35133,303,310.6,1295,61.2,107,1
35137,302.6,311.6,1227,68.2,26,1
35222,300.2,311.6,1352,61.8,171,1
35246,302.3,311,1362,45.6,0,1
35322,298.4,309.2,1374,55.8,18,1
35473,303.3,311.5,1301,43.2,78,1
35489,299.6,309.5,1359,55.4,168,1
35548,302.6,312.1,1662,28.4,0,1
35652,299,310,1337,62.5,146,1
35662,297.8,308.9,1871,25.6,200,1
35764,298.4,308.2,1282,60.7,175,1
35880,298.2,308.7,1436,69.4,85,1
35945,299.2,310.7,1530,35,225,1
35983,297.3,308.4,1696,30.5,215,1
36031,303.4,312.1,1306,48.1,92,1
36046,299.2,308.3,1995,20.1,0,1
36223,301.3,310.1,1623,36.1,195,1
36233,301.6,310.2,1394,45.1,54,1
36272,301.8,310.2,1359,46.9,8,1
36353,301.7,310.2,1331,52,47,1
36364,299.2,308.4,1480,48.6,142,1
36385,302.1,311.5,1443,45.3,203,1
36388,302.1,310.1,1386,62.3,49,1
36481,301.9,309.7,1366,45.2,0,1
36523,298.4,309.6,1710,27.3,146,1
36684,302.4,311.1,1571,29.8,201,1
36712,300.6,310.3,1484,41,213,1
36809,302.6,310.4,1365,54.3,108,1
36811,302.7,310.8,1355,36.1,35,1
36814,297,307.8,1315,55.8,200,1
36850,300.8,310.7,1339,35.1,203,1
36872,302.7,310.5,1362,56.3,21,1
36991,299.1,308.3,1325,48.2,204,1
37016,302.4,310.8,1394,45,150,1
37034,302.3,310.1,1342,41.2,187,1
37100,297.4,308.3,1372,45.5,207,1
37276,301.6,311.1,1366,45.8,113,1
37297,298,309.9,1403,47.7,43,1
37339,299.3,308.9,1258,69.4,100,1
37391,302.2,310.1,1326,61,12,1
37428,301.7,311,1377,55.1,187,1
37558,297.8,309,1403,61.2,0,1
37616,301.4,310.6,1377,56.3,0,1
37638,299.3,308.8,1737,26.9,201,1
37639,298,308.7,1405,55.5,215,1
37795,299,310.1,1486,62.5,85,1
37811,302.6,311.5,1629,34.4,74,1
37814,300.5,310.2,1571,34.6,228,1
37888,303,311.2,1346,52.9,69,1
38075,301.7,311,1349,60.6,197,1
38109,302.6,310.3,1245,61.7,177,1
38136,302.3,310.1,1353,55.3,5,1
38289,300.1,310.3,1345,57.1,71,1
38353,302,310.7,1679,27,222,1
38393,302.5,310.4,1967,20.3,50,1
38398,302,310.9,1430,38.8,222,1
38495,303.5,311.8,1366,54.6,30,1
38544,300.8,311.2,1348,58.8,172,1
38602,300.7,310.7,1438,48.5,78,1
38604,299.7,309.2,1431,51.6,75,1
38680,302.6,310.4,1372,52.8,35,1
38695,301,311,1399,58,146,1
38700,302.6,312.1,1288,53.4,0,1
38749,299.1,310.3,1292,55.9,240,1
38762,297.9,307.4,1465,45.1,225,1
38917,303.1,311.2,1368,56.8,111,1
38951,301.5,310.7,1273,48.9,208,1
38985,299.9,310.4,1419,53.7,182,1
39074,302.3,310.9,1636,35.6,130,1
39088,300.3,310.3,1330,56.5,146,1
39130,300.5,309.3,1349,51.5,231,1
39301,295.6,306,1396,52.4,0,1
39348,302,309.9,1359,53.8,181,1
39357,303.1,311.3,1346,49.9,69,1
39452,302.2,310.5,1330,54.6,9,1
39494,296.9,307.8,1400,57.1,166,1
39627,299,310.1,1374,54,210,1
39699,302.5,310.8,1370,50.3,20,1
39738,302.6,311,1356,39.2,94,1
39759,302.6,310.2,1329,55.1,154,1
39842,302.2,310.5,1317,71.8,134,1
39872,297,307.8,1412,52.1,200,1
39952,300.9,310.8,1708,29.1,14,1
39987,300.6,309.9,1365,54.9,171,1
40043,297.2,307.9,1794,75.4,172,1
40049,303.1,311.2,1346,58.2,89,1
40125,301.1,310.9,1396,30.3,12,1
40184,298.2,308.5,1429,37.7,220,1
40195,302,310.8,1359,51,174,1
40226,299.2,310.3,1371,53.9,231,1
40513,302.6,312.5,1326,49.3,53,1
40527,297.2,307.9,1326,75.4,172,1
40575,302.4,310.3,1348,52.3,97,1
40632,300.1,311.4,1660,31.4,38,1
40728,302.8,310.6,1326,48.1,40,1
40823,302.4,310.1,1361,47.4,54,1
40850,302.6,310.5,1351,52.1,40,1
40863,302.3,310.1,1379,44.6,22,1
40898,302.6,311,1366,51,99,1
40987,302.3,310.9,1329,49.6,130,1
41051,300.9,310.7,1420,59.1,203,1
41132,303,311.2,1361,56.8,171,1
41136,303.5,311.6,1366,46.1,69,1
41255,302.7,311.6,1370,54,211,1
41259,301.6,310.6,1358,62.1,214,1
